"filename", "language", "JavaScript", "comment", "blank", "total"
"/Users/bbj/Library/Mobile Documents/com~apple~CloudDocs/work/portfolio/portfolio_website-STARTER/src/components/Acomplishments/Acomplishments.js", "JavaScript", 15, 0, 5, 20
"/Users/bbj/Library/Mobile Documents/com~apple~CloudDocs/work/portfolio/portfolio_website-STARTER/src/components/Acomplishments/AcomplishmentsStyles.js", "JavaScript", 114, 0, 21, 135
"/Users/bbj/Library/Mobile Documents/com~apple~CloudDocs/work/portfolio/portfolio_website-STARTER/src/components/BackgrooundAnimation/BackgroundAnimation.js", "JavaScript", 363, 0, 2, 365
"/Users/bbj/Library/Mobile Documents/com~apple~CloudDocs/work/portfolio/portfolio_website-STARTER/src/components/Footer/Footer.js", "JavaScript", 12, 0, 4, 16
"/Users/bbj/Library/Mobile Documents/com~apple~CloudDocs/work/portfolio/portfolio_website-STARTER/src/components/Footer/FooterStyles.js", "JavaScript", 133, 0, 27, 160
"/Users/bbj/Library/Mobile Documents/com~apple~CloudDocs/work/portfolio/portfolio_website-STARTER/src/components/Header/Header.js", "JavaScript", 45, 0, 4, 49
"/Users/bbj/Library/Mobile Documents/com~apple~CloudDocs/work/portfolio/portfolio_website-STARTER/src/components/Header/HeaderStyles.js", "JavaScript", 110, 3, 16, 129
"/Users/bbj/Library/Mobile Documents/com~apple~CloudDocs/work/portfolio/portfolio_website-STARTER/src/components/Hero/Hero.js", "JavaScript", 10, 0, 3, 13
"/Users/bbj/Library/Mobile Documents/com~apple~CloudDocs/work/portfolio/portfolio_website-STARTER/src/components/Hero/HeroStyles.js", "JavaScript", 16, 0, 4, 20
"/Users/bbj/Library/Mobile Documents/com~apple~CloudDocs/work/portfolio/portfolio_website-STARTER/src/components/NavDropDown/NavDropDown.js", "JavaScript", 67, 0, 9, 76
"/Users/bbj/Library/Mobile Documents/com~apple~CloudDocs/work/portfolio/portfolio_website-STARTER/src/components/NavDropDown/index.js", "JavaScript", 10, 0, 4, 14
"/Users/bbj/Library/Mobile Documents/com~apple~CloudDocs/work/portfolio/portfolio_website-STARTER/src/components/Projects/Projects.js", "JavaScript", 10, 0, 3, 13
"/Users/bbj/Library/Mobile Documents/com~apple~CloudDocs/work/portfolio/portfolio_website-STARTER/src/components/Projects/ProjectsStyles.js", "JavaScript", 96, 0, 16, 112
"/Users/bbj/Library/Mobile Documents/com~apple~CloudDocs/work/portfolio/portfolio_website-STARTER/src/components/Technologies/Technologies.js", "JavaScript", 10, 0, 3, 13
"/Users/bbj/Library/Mobile Documents/com~apple~CloudDocs/work/portfolio/portfolio_website-STARTER/src/components/Technologies/TechnologiesStyles.js", "JavaScript", 112, 0, 22, 134
"/Users/bbj/Library/Mobile Documents/com~apple~CloudDocs/work/portfolio/portfolio_website-STARTER/src/components/TimeLine/TimeLine.js", "JavaScript", 13, 26, 14, 53
"/Users/bbj/Library/Mobile Documents/com~apple~CloudDocs/work/portfolio/portfolio_website-STARTER/src/components/TimeLine/TimeLineStyles.js", "JavaScript", 130, 3, 22, 155
"/Users/bbj/Library/Mobile Documents/com~apple~CloudDocs/work/portfolio/portfolio_website-STARTER/src/constants/constants.js", "JavaScript", 45, 0, 1, 46
"/Users/bbj/Library/Mobile Documents/com~apple~CloudDocs/work/portfolio/portfolio_website-STARTER/src/layout/Layout.js", "JavaScript", 13, 0, 3, 16
"/Users/bbj/Library/Mobile Documents/com~apple~CloudDocs/work/portfolio/portfolio_website-STARTER/src/layout/LayoutStyles.js", "JavaScript", 6, 0, 2, 8
"/Users/bbj/Library/Mobile Documents/com~apple~CloudDocs/work/portfolio/portfolio_website-STARTER/src/pages/_app.js", "JavaScript", 10, 0, 2, 12
"/Users/bbj/Library/Mobile Documents/com~apple~CloudDocs/work/portfolio/portfolio_website-STARTER/src/pages/_document.js", "JavaScript", 40, 0, 3, 43
"/Users/bbj/Library/Mobile Documents/com~apple~CloudDocs/work/portfolio/portfolio_website-STARTER/src/pages/api/hello.js", "JavaScript", 3, 1, 1, 5
"/Users/bbj/Library/Mobile Documents/com~apple~CloudDocs/work/portfolio/portfolio_website-STARTER/src/pages/index.js", "JavaScript", 23, 0, 3, 26
"/Users/bbj/Library/Mobile Documents/com~apple~CloudDocs/work/portfolio/portfolio_website-STARTER/src/styles/GlobalComponents/Button.js", "JavaScript", 8, 0, 4, 12
"/Users/bbj/Library/Mobile Documents/com~apple~CloudDocs/work/portfolio/portfolio_website-STARTER/src/styles/GlobalComponents/index.js", "JavaScript", 245, 0, 37, 282
"/Users/bbj/Library/Mobile Documents/com~apple~CloudDocs/work/portfolio/portfolio_website-STARTER/src/styles/globals.js", "JavaScript", 31, 0, 6, 37
"/Users/bbj/Library/Mobile Documents/com~apple~CloudDocs/work/portfolio/portfolio_website-STARTER/src/styles/theme.js", "JavaScript", 10, 0, 3, 13
"/Users/bbj/Library/Mobile Documents/com~apple~CloudDocs/work/portfolio/portfolio_website-STARTER/src/themes/default.js", "JavaScript", 19, 3, 1, 23
"Total", "-", 1719, 36, 245, 2000